id,genre,track_name,artist_name,danceability,valence,energy,tempo
4aVICXthzqhJ0oaExmwHNJ,alt-rock,Girls & Boys,Various Artists,0.649,0.891,0.943,124.077
53XBXgtdqf1gmWMm3rqV27,alt-rock,Tribute,Tenacious D,0.365,0.422,0.767,94.174
0W7AbEauB7cP4pidLclApe,alt-rock,Hunger Strike,Temple Of The Dog,0.373,0.298,0.567,137.789
0IVT2zUgpMzyEx2TTM1HgB,alt-rock,Gold Soundz,Pavement,0.448,0.478,0.61,126.579
1lL8ttg9HNdyuN0VxD7c75,alt-rock,Photograph,The Verve Pipe,0.47,0.316,0.756,167.889
2EoOZnxNgtmZaD8uUmz2nD,alt-rock,Black Hole Sun,Soundgarden,0.35,0.147,0.828,105.435
3rwTe4gqepNe22qyecMeMf,alt-rock,Indian Summer,Beat Happening,0.443,0.601,0.584,139.815
4GiVcDqNQI0fc0yYuRGH9m,alt-rock,Inside Out,Eve 6,0.483,0.691,0.818,175.668
0Ws3haBpuaBIaRnWKrkNCg,alt-rock,No One Loves Me & Neither Do I,Them Crooked Vultures,0.232,0.603,0.895,175.744
1WqMWVafmQbUPFOQfuszFC,alt-rock,You're On Fire,They Might Be Giants,0.666,0.955,0.836,104.068
64zdnlftDUEpPQbOut0sV2,alt-rock,Fireproof,The National,0.481,0.311,0.472,115.978
4WdopfTdSd0nCLropjhsgH,alternative,The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! At The Disco,0.501,0.708,0.933,170.13
1EzeXGaZdqsA4Nst1AIAL2,alternative,Bullet With Butterfly Wings,The Smashing Pumpkins,0.389,0.555,0.705,122.154
33ytgjBqchYHhhRfKWMCvH,alternative,Fell In Love With A Girl,The White Stripes,0.235,0.379,0.977,91.929
4NwJWJ7rIZBnv8TwNRhGG2,alternative,Left Hand Free,alt-J,0.697,0.802,0.877,101.99
73rXtIItWU8symwYF0bEB8,alternative,I Don't Care,Fall Out Boy,0.532,0.516,0.923,133.976
07bEZWP1PqS5jCR0iiz1zt,alternative,In Bloom - Nevermind Version,Nirvana,0.438,0.592,0.851,157.088
